"Date";"Indoor Temperature";"Indoor Humidity";"Outdoor Temperature 1";"Outdoor Humidity 1";"Outdoor Temperature 2";"Outdoor Humidity 2";"Outdoor Temperature 3";"Outdoor Humidity 3";"Outdoor Temperature 4";"Outdoor Humidity 4";"Outdoor Temperature 5";"Outdoor Humidity 5"
"03.02.2015 12:00";"25.4";"50";"3.8";"67";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 13:00";"24.9";"52";"5.5";"62";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 14:00";"24.7";"49";"6.8";"54";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 15:00";"24.2";"49";"6.0";"53";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 16:00";"24.2";"47";"5.6";"47";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 17:00";"23.9";"40";"4.9";"58";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 18:00";"24.3";"44";"3.6";"63";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 19:00";"24.3";"50";"2.3";"69";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 20:00";"25.2";"50";"1.8";"71";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 21:00";"24.5";"50";"1.4";"74";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 22:00";"24.6";"51";"1.0";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"03.02.2015 23:00";"24.5";"51";"0.5";"77";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 00:00";"23.8";"51";"0.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 01:00";"23.1";"51";"0.1";"76";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 02:00";"22.7";"51";"-0.2";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 03:00";"22.2";"51";"0.1";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 04:00";"22.0";"51";"-0.2";"78";"---";"---";"---";"---";"---";"---";"---";"---"
"04.02.2015 05:00";"21.8";"51";"-0.7";"79";"---";"---";"---";"---";"---";"---";"---";"---"
